                      Список отношений
 Схема  |             Имя              |   Тип   | Владелец 
--------+------------------------------+---------+----------
 public | Н_ВЕДОМОСТИ                  | таблица | ucheb
 public | Н_ВИДЫ_ОБУЧЕНИЯ              | таблица | ucheb
 public | Н_ВИДЫ_РАБОТ                 | таблица | ucheb
 public | Н_ГРУППЫ_ПЛАНОВ              | таблица | ucheb
 public | Н_ДИСЦИПЛИНЫ                 | таблица | ucheb
 public | Н_ИЗМ_ЛЮДИ                   | таблица | ucheb
 public | Н_КВАЛИФИКАЦИИ               | таблица | ucheb
 public | Н_КОМПОНЕНТЫ                 | таблица | ucheb
 public | Н_ЛЮДИ                       | таблица | ucheb
 public | Н_ЛЮДИ_ПО_ПАДЕЖАМ            | таблица | ucheb
 public | Н_НАПР_СПЕЦ                  | таблица | ucheb
 public | Н_НАПРАВЛЕНИЯ_СПЕЦИАЛ        | таблица | ucheb
 public | Н_ОБУЧЕНИЯ                   | таблица | ucheb
 public | Н_ОТДЕЛЫ                     | таблица | ucheb
 public | Н_ОЦЕНКИ                     | таблица | ucheb
 public | Н_ПЛАНЫ                      | таблица | ucheb
 public | Н_СВОЙСТВА_ВР                | таблица | ucheb
 public | Н_СВОЙСТВА_ОТДЕЛОВ           | таблица | ucheb
 public | Н_СЕССИЯ                     | таблица | ucheb
 public | Н_СОДЕРЖАНИЯ_ЭЛЕМЕНТОВ_СТРОК | таблица | ucheb
 public | Н_СТРОКИ_ПЛАНОВ              | таблица | ucheb
 public | Н_ТИПЫ_ВЕДОМОСТЕЙ            | таблица | ucheb
 public | Н_ТИПЫ_ПЛАНОВ                | таблица | ucheb
 public | Н_ТИПЫ_СТАНДАРТОВ            | таблица | ucheb
 public | Н_УЧЕБНЫЕ_ГОДА               | таблица | ucheb
 public | Н_УЧЕНИКИ                    | таблица | ucheb
 public | Н_ФОРМЫ_ОБУЧЕНИЯ             | таблица | ucheb
 public | Н_ХАРАКТЕРИСТИКИ_ВИДОВ_РАБОТ | таблица | ucheb
 public | Н_ХАРАКТЕРИСТИКИ_ОТДЕЛОВ     | таблица | ucheb
 public | Н_ЦИКЛЫ_ДИСЦИПЛИН            | таблица | ucheb
 public | Н_ЭЛЕМЕНТЫ_СТРОК             | таблица | ucheb
(31 строка)

